tweet_id,date_time,source,name,breed,stage,rating_num,retweet_count,favorite_count,img_url,dog_count,text
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,Phineas,,,13.0,7010,33822,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,Tilly,Chihuahua,,13.0,5302,29338,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10"
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,Archie,Chihuahua,,12.0,3482,22068,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,Darla,Labrador retriever,,13.0,7228,36948,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,Franklin,Basset,,12.0,7764,35321,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,1,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek"
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,None,Chesapeake bay retriever,,13.0,2602,17815,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,Jax,Appenzeller,,13.0,1666,10367,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,None,Pomeranian,,13.0,15759,56883,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,1,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,Zoey,Irish terrier,,13.0,3624,24530,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,Cassie,Pembroke,doggo,14.0,6101,27969,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate
